"","dataid","clusterid","block","Nhh","Nlt18","Ncomp","momage","momheight","momeduy","dadeduy","dadagri","landacre","hfias","hfiacat","tubewell","watmin","storewat","treatwat","latown","latslab","latseal","latfeces","potty","humfeces","humfecesch","hwsw","hwss","hwsws","roof","walls","floor","cement","elec","asset_radio","asset_tvbw","asset_tvcol","asset_refrig","asset_bike","asset_moto","asset_sewmach","asset_phone","asset_tv","asset_wardrobe","asset_table","asset_chair","asset_clock","asset_khat","asset_chouki","asset_mobile","n_asset_mobile","hwcat"
"26","28302","283",1,4,2,9,28,NA,5,5,0,0.02,0,"Food Secure",0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
"27","28303","283",1,3,2,10,25,156.15,9,0,0,0.2,0,"Food Secure",0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1
"28","28304","283",1,6,4,6,28,NA,5,3,0,0.19,0,"Food Secure",1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
"29","28305","283",1,5,2,5,16,148.85,7,5,0,0.07,0,"Food Secure",0,2,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,3,1
"30","28306","283",1,5,3,16,29,156.9,4,4,0,0.04,0,"Food Secure",0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
"31","28307","283",1,6,3,24,26,154.35,7,5,1,0.08,0,"Food Secure",0,2,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1
"32","28401","284",1,4,2,25,34,156.4,0,0,0,0.03,10,"Moderately Food Insecure",1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"33","28402","284",1,6,3,12,33,155.7,0,0,0,0.05,15,"Severely Food Insecure",0,2,1,0,0,1,0,1,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,NA
"34","28403","284",1,4,2,4,30,142.45,8,5,0,0.13,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1
"35","28404","284",1,3,1,13,20,141.35,4,4,0,0.02,6,"Moderately Food Insecure",1,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,NA
"36","28405","284",1,5,3,14,25,143,0,7,0,0.07,4,"Moderately Food Insecure",1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"37","28406","284",1,4,2,13,25,147.2,5,0,0,0.02,19,"Severely Food Insecure",1,2,1,0,0,1,0,1,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"38","28407","284",1,4,1,13,28,144.7,0,0,0,0.02,11,"Severely Food Insecure",1,1,1,0,1,1,1,0,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA
"39","28408","284",1,4,0,4,20,153.9,5,0,0,0.14,0,"Food Secure",1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1
"40","28501","285",1,2,0,9,19,147.7,10,8,0,0.12,0,"Food Secure",1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,2
"41","28502","285",1,3,1,8,16,NA,5,0,0,0.09,4,"Mildly Food Insecure",1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
"42","28503","285",1,9,3,9,18,145.2,5,4,1,0.03,0,"Food Secure",1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,4,1
"43","28504","285",1,2,0,4,19,NA,5,5,0,0.08,7,"Severely Food Insecure",1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"44","28505","285",1,5,3,22,30,143.5,4,0,0,0.08,0,"Food Secure",0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1
"45","28506","285",1,10,4,10,19,157.6,8,7,0,0.13,0,"Food Secure",0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,3,1
"46","28507","285",1,2,0,10,25,141.65,0,0,1,0.03,10,"Moderately Food Insecure",1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"47","28508","285",1,11,3,11,23,NA,10,12,0,0.45,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,4,2
"48","28601","286",1,7,1,7,25,150,9,10,0,0.35,4,"Mildly Food Insecure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,1,3,1
"49","28602","286",1,3,1,3,18,142.45,0,6,0,0.04,0,"Food Secure",1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1
"50","28603","286",1,3,1,25,20,145,4,7,0,0.02,6,"Moderately Food Insecure",1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
"51","28604","286",1,6,2,12,29,NA,4,0,0,0.1,2,"Mildly Food Insecure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1
"52","28605","286",1,6,3,6,19,147.1,2,0,0,0.05,0,"Food Secure",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,3,1
"53","28606","286",1,4,1,4,23,145.5,5,5,0,0.05,0,"Food Secure",1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,1,2,1
"54","28607","286",1,3,1,3,20,142.9,3,5,0,0.04,6,"Moderately Food Insecure",0,0,1,0,1,0,NA,NA,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,NA
"55","28608","286",1,6,4,6,35,NA,5,0,1,0.06,0,"Food Secure",1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1
"56","28701","287",1,3,0,16,24,156.5,10,8,0,0.22,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,2,1
"57","28702","287",1,6,3,6,30,159.25,5,0,0,0.1,0,"Food Secure",1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1
"58","28703","287",1,6,3,34,25,143.8,0,0,0,0.01,8,"Moderately Food Insecure",1,0,0,0,0,1,NA,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"59","28704","287",1,5,3,13,28,154.35,5,10,0,0.03,0,"Food Secure",1,1,1,0,0,1,0,0,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA
"60","28705","287",1,5,3,5,43,155.75,5,5,1,0.1,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1
"61","28706","287",1,4,2,23,24,155.15,5,0,0,0.01,5,"Moderately Food Insecure",0,2,1,0,0,1,0,0,0,0,0,NA,NA,NA,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,NA
"62","28707","287",1,2,0,7,20,150.75,0,4,1,0.02,0,"Food Secure",0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"63","28708","287",1,8,1,33,25,NA,9,9,0,0.18,0,"Food Secure",1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,6,1
"64","28801","288",2,3,1,9,22,154.9,4,0,0,0.03,0,"Food Secure",1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
"65","28802","288",2,3,1,11,24,153.5,9,8,0,0.1,0,"Food Secure",1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
"66","28803","288",2,3,1,11,32,151.7,12,10,0,0.1,0,"Food Secure",1,2,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2,1
"67","28804","288",2,6,4,10,30,157.5,7,5,0,0.07,0,"Food Secure",1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,2,1
"68","28805","288",2,13,4,13,28,145.2,5,5,0,0.06,0,"Food Secure",1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,7,1
"69","28806","288",2,3,1,20,22,NA,5,7,1,0.09,0,"Food Secure",1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1
"70","28807","288",2,4,1,4,30,154.7,0,8,0,0.12,0,"Food Secure",1,1,1,0,0,NA,NA,NA,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1
"71","28901","289",2,4,2,14,27,158.8,9,6,0,0.13,0,"Food Secure",1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,3,1
"72","28902","289",2,15,5,15,18,153.25,10,8,0,0.1,0,"Food Secure",1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,8,1
"73","28903","289",2,5,1,7,19,157.1,7,0,0,0.03,1,"Mildly Food Insecure",1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1
"74","28904","289",2,3,1,7,22,147.85,5,5,0,0.09,9,"Moderately Food Insecure",0,0,1,0,0,1,0,1,0,0,0,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA
"75","28905","289",2,6,1,6,23,147.55,8,0,0,0.09,0,"Food Secure",1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1
